"State","Sprinkler","Drip Irrigation","Open channel","Under ground channel","Others","Total"
"ANDHRA PRADESH",210,160,27692,2113,1041,31216
"ARUNACHAL PRADESH",NA,NA,NA,NA,NA,NA
"ASSAM",2,0,289,288,13,592
"BIHAR",603,58,4849,726,204,6440
"GOA",4,0,14,0,1,19
"GUJARAT",NA,NA,NA,NA,NA,NA
"HARYANA",133,24,5862,391,4,6414
"HIMACHAL PRADESH",12,1,79,138,0,230
"JAMMU & KASHMIR",0,0,97,0,0,97
"KARNATAKA",5913,1980,81988,44506,16195,150582
"KERALA",2,7,32,47,110,198
"MADHYA PRADESH",2222,206,14872,5629,1522,24451
"MAHARASHTRA",NA,NA,NA,NA,NA,NA
"MANIPUR",NA,NA,NA,NA,NA,NA
"MEGHALAYA",0,0,7,0,0,7
"MIZORAM",NA,NA,NA,NA,NA,NA
"NAGALAND",0,0,0,0,3,3
"ORISSA",66,1,2247,468,129,2911
"PUNJAB",63,13,1832,358,11,2277
"RAJASTHAN",653,72,10419,1156,250,12550
"SIKKIM",NA,NA,NA,NA,NA,NA
"TAMIL NADU",2826,322,25954,1405,2459,32966
"TRIPURA",1,0,17,101,12,131
"UTTAR PRADESH",396,100,8208,2670,251,11625
"WEST BENGAL",61,57,268,3643,10,4039
"ANDAMAN & NICOBARS",NA,NA,NA,NA,NA,NA
"CHANDIGARH",NA,NA,NA,NA,NA,NA
"DADRA & NAGAR HAVELI",NA,NA,NA,NA,NA,NA
"DAMAN & DIU",NA,NA,NA,NA,NA,NA
"DELHI",36,2,348,287,18,691
"LAKSHADWEEP",NA,NA,NA,NA,NA,NA
"PONDICHERRY",0,0,355,46,17,418
"ALL INDIA",13203,3003,185429,63972,22250,287857
